Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
11;1184051;2НДФЛ;Покупка автомобиля;1;0.46;женский;0;0;высшее;торговый представитель;>250;1;6;25;Торговля;ООО;гражданский брак;1;1;1;1;1;0.125;0;0;0;0;1;1;0;7;1;0;0;15;15;1;0;0;0;0;0;0
11;1184071;Поступление зарплаты на счет;Ремонт;1;0.59;женский;0;0;высшее;специалист;>250;0;28;30;Торговля;ООО;женат / замужем;3;0;0;0;0;0.1363636364;0;0;0;0;0.25;1;3;19;4;0;0;2;26;1;1;0;0;0;0;0
11;1184091;Форма банка (без печати работодателя);Ремонт;1;0.31;женский;2;1;среднее-специальное;рабочий;>250;0;110;39;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1184111;Свободная форма с печатью работодателя;Ремонт;0;0.48;женский;0;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1184131;2НДФЛ;Покупка автомобиля;0;0.37;мужской;0;0;высшее;вспомогательный персонал;>250;1;57;29;Торговля;ООО;холост / не замужем;2;0;0;0;0;0.0526315789;0;0;0;0;0;0;6;36;6;0;2;2;30;1;0;0;0;0;0;0
11;1184151;2НДФЛ;Покупка автомобиля;1;0.57;женский;1;0;высшее;менеджер среднего звена;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1184171;Форма банка (без печати работодателя);Ремонт;1;0.59;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;117;47;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1184191;Форма банка (без печати работодателя);Ремонт;1;0.37;женский;1;0;среднее-специальное;вспомогательный персонал;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1184211;Форма банка (без печати работодателя);Лечение;1;0.33;мужской;0;0;высшее;специалист;>250;0;34;29;Торговля;ООО;холост / не замужем;2;1;1;0;0;0;0;1;1;0;0.5;4;4;90;8;2;0;2;39;0;0;0;0;0;0;0
11;1184231;2НДФЛ;Ремонт;1;0.49;женский;0;0;высшее;вспомогательный персонал;>250;0;65;46;Торговля;ООО;женат / замужем;1;0;0;0;0;0.038961039;0;0;0;0;0.1666666667;1;5;222;6;0;2;17;93;1;0;0;0;0;0;0
